"","stim_id","Race","Gender","Age","ethnicity","gender"
"1","AF-203","A","F",22.75862069,"asian","female"
"2","AF-204","A","F",30.13793103,"asian","female"
"3","AF-205","A","F",26.59259259,"asian","female"
"4","AF-209","A","F",22.56,"asian","female"
"5","AF-211","A","F",22.5,"asian","female"
"6","AF-212","A","F",23.85714286,"asian","female"
"7","AF-222","A","F",24.86206897,"asian","female"
"8","AF-224","A","F",28.76,"asian","female"
"9","AF-228","A","F",24.76923077,"asian","female"
"10","AF-229","A","F",25.85185185,"asian","female"
"11","AF-230","A","F",24.14814815,"asian","female"
"12","AF-245","A","F",30.22222222,"asian","female"
"13","AF-248","A","F",34.17241379,"asian","female"
"14","AF-250","A","F",25.10344828,"asian","female"
"15","AF-255","A","F",26,"asian","female"
"16","AM-201","A","M",23.8,"asian","male"
"17","AM-202","A","M",26.22222222,"asian","male"
"18","AM-204","A","M",23.91666667,"asian","male"
"19","AM-205","A","M",34.83333333,"asian","male"
"20","AM-209","A","M",27.75,"asian","male"
"21","AM-210","A","M",21.04761905,"asian","male"
"22","AM-211","A","M",26.32142857,"asian","male"
"23","AM-225","A","M",24.68,"asian","male"
"24","AM-229","A","M",24.76923077,"asian","male"
"25","AM-231","A","M",26.93103448,"asian","male"
"26","AM-237","A","M",29.44,"asian","male"
"27","AM-238","A","M",27.42307692,"asian","male"
"28","AM-243","A","M",23.88,"asian","male"
"29","AM-246","A","M",29.07142857,"asian","male"
"30","AM-250","A","M",25.88461538,"asian","male"
"31","BF-003","B","F",25.80898876,"black","female"
"32","BF-004","B","F",26.98369565,"black","female"
"33","BF-005","B","F",28.12087912,"black","female"
"34","BF-007","B","F",30.51086957,"black","female"
"35","BF-008","B","F",24.57471264,"black","female"
"36","BF-018","B","F",26.9010989,"black","female"
"37","BF-020","B","F",26.45744681,"black","female"
"38","BF-035","B","F",19,"black","female"
"39","BF-047","B","F",34.21348315,"black","female"
"40","BF-201","B","F",27.4,"black","female"
"41","BF-210","B","F",24,"black","female"
"42","BF-241","B","F",25.32142857,"black","female"
"43","BF-244","B","F",29.10714286,"black","female"
"44","BF-247","B","F",25.48148148,"black","female"
"45","BF-250","B","F",31.0952381,"black","female"
"46","BM-002","B","M",25.10638298,"black","male"
"47","BM-017","B","M",32.8172043,"black","male"
"48","BM-027","B","M",24.14814815,"black","male"
"49","BM-030","B","M",25.26041667,"black","male"
"50","BM-032","B","M",34.54494382,"black","male"
"51","BM-040","B","M",26.95238095,"black","male"
"52","BM-202","B","M",29.66666667,"black","male"
"53","BM-210","B","M",29.22580645,"black","male"
"54","BM-211","B","M",31.51851852,"black","male"
"55","BM-219","B","M",24.22222222,"black","male"
"56","BM-226","B","M",21.77777778,"black","male"
"57","BM-227","B","M",24.51851852,"black","male"
"58","BM-238","B","M",24.48148148,"black","male"
"59","BM-250","B","M",34.93103448,"black","male"
"60","BM-253","B","M",31.875,"black","male"
"61","LF-202","L","F",29.85185185,"latinx","female"
"62","LF-206","L","F",26.23076923,"latinx","female"
"63","LF-208","L","F",24.64285714,"latinx","female"
"64","LF-209","L","F",21.73076923,"latinx","female"
"65","LF-210","L","F",24.80769231,"latinx","female"
"66","LF-213","L","F",25.8,"latinx","female"
"67","LF-216","L","F",24.72,"latinx","female"
"68","LF-219","L","F",24.96153846,"latinx","female"
"69","LF-220","L","F",22.16,"latinx","female"
"70","LF-226","L","F",25.38461538,"latinx","female"
"71","LF-228","L","F",24.5862069,"latinx","female"
"72","LF-235","L","F",24.73076923,"latinx","female"
"73","LF-241","L","F",29.85185185,"latinx","female"
"74","LF-253","L","F",27.46153846,"latinx","female"
"75","LF-254","L","F",22.125,"latinx","female"
"76","LM-207","L","M",20.5,"latinx","male"
"77","LM-210","L","M",29.48148148,"latinx","male"
"78","LM-211","L","M",19.35714286,"latinx","male"
"79","LM-214","L","M",27.5,"latinx","male"
"80","LM-217","L","M",33.44,"latinx","male"
"81","LM-219","L","M",26.7037037,"latinx","male"
"82","LM-224","L","M",26.55172414,"latinx","male"
"83","LM-227","L","M",32.27586207,"latinx","male"
"84","LM-231","L","M",27.92,"latinx","male"
"85","LM-241","L","M",26.14285714,"latinx","male"
"86","LM-243","L","M",21.64285714,"latinx","male"
"87","LM-247","L","M",25.41666667,"latinx","male"
"88","LM-250","L","M",22.64285714,"latinx","male"
"89","LM-251","L","M",26.44,"latinx","male"
"90","LM-252","L","M",28.66666667,"latinx","male"
"91","WF-007","W","F",21.79787234,"white","female"
"92","WF-012","W","F",23.17525773,"white","female"
"93","WF-015","W","F",24.21111111,"white","female"
"94","WF-020","W","F",26.02222222,"white","female"
"95","WF-030","W","F",24.17977528,"white","female"
"96","WF-031","W","F",23.23529412,"white","female"
"97","WF-205","W","F",27.56,"white","female"
"98","WF-208","W","F",26.44444444,"white","female"
"99","WF-210","W","F",27.38461538,"white","female"
"100","WF-211","W","F",21.55172414,"white","female"
"101","WF-215","W","F",30.64,"white","female"
"102","WF-220","W","F",24.4137931,"white","female"
"103","WF-226","W","F",32.23809524,"white","female"
"104","WF-242","W","F",27.28571429,"white","female"
"105","WF-252","W","F",26.46428571,"white","female"
"106","WM-003","W","M",23.3452381,"white","male"
"107","WM-009","W","M",23.69565217,"white","male"
"108","WM-016","W","M",30.39534884,"white","male"
"109","WM-039","W","M",19.23863636,"white","male"
"110","WM-211","W","M",27.79310345,"white","male"
"111","WM-213","W","M",26.36,"white","male"
"112","WM-216","W","M",30.88461538,"white","male"
"113","WM-217","W","M",18.73076923,"white","male"
"114","WM-229","W","M",24.69565217,"white","male"
"115","WM-236","W","M",20.73076923,"white","male"
"116","WM-237","W","M",29,"white","male"
"117","WM-242","W","M",23.06896552,"white","male"
"118","WM-243","W","M",31.44,"white","male"
"119","WM-244","W","M",30.51851852,"white","male"
"120","WM-256","W","M",30.96153846,"white","male"
